Stacking Strategy,Precision,Recall,F1-score
Voting (cv),0.5578947368421052,0.5578947368421052,0.5578947368421052
Label Stacking (cv),0.5789473684210527,0.5789473684210527,0.5789473684210527
Label Attribute Stacking (cv),0.5894736842105263,0.5894736842105263,0.5894736842105263
Voting (test),0.5246636771300448,0.5246636771300448,0.5246636771300448
Label Stacking (test),0.47533632286995514,0.47533632286995514,0.47533632286995514
Label Attribute Stacking (test),0.5201793721973094,0.5201793721973094,0.5201793721973094
